Batsmen,Team,Batting Style,Bowling Style,Playing Role,Image,Description
D'Arcy John Matthew Short,Australia,Left hand Bat,Left arm Wrist spin,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321500/321571.png","D'Arcy Short played Australian state cricket in 2011 before drifting to the margins of the set-up over the next six years and almost packing it in. His second coming has been far more successful: he enjoyed a breakout 2017-18 season in the white-ball formats, first with Western Australia in the JLT Cup and then, most spectacularly, in the Big Bash with Hobart Hurricanes, where he was the tournament's leading scorer. That earned him an IPL deal and an Australia call-up. He impressed in a T20I tri-series for the national side before struggling in India. He was given chances in ODI cricket in 2018 in England and against South Africa at home but couldn't bed down a spot long term."
Wahab Riaz,Pakistan,Vicky,Right hand Bat,Left arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316530.png","Wahab Riaz, a left-arm fast bowler, has the pace to trouble the best, but hasn't always combined it with consistency. He has benefited from Pakistan's chronic poor luck with fast bowlers: with Shoaib Akhtar and Mohammad Asif missing more than they play and Umar Gul injury-prone, Riaz came into national reckoning earlier than he might have reasonably expected. Since then he has had some good moments in international cricket, but consistency hasn't been his strongest suit."
Sagar Dhakal,Nepal,Right hand Bat,Slow Left arm Orthodox,Nepal,,
Raja Akifullah Khan,United Arab Emirates,Left hand Bat,Right arm Medium fast,United Arab Emirates,,
Jatinderpal Matharu,Canada,Left hand Bat,Right arm Medium fast,Bowler,,
Gulshan Kumar Jha,Nepal,Left hand Bat,Right arm Medium,Nepal Police Club,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/330400/330440.png",
Rishiv Ragav Joshi,Canada,Left hand Bat,Left arm Medium fast,Canada Under-19s,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/292400/292484.1.jpg",
Tangeni Lungameni,Namibia,Left hand Bat,Left arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/350300/350306.png",
Dylan Otto Leicher,Namibia,Right hand Bat,Right arm Medium,King Price Kings,,
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/329700/329760.png",
Marvin Swack,Cayman Islands,Right hand Bat,Right arm Medium,Cayman Islands,,
Alessandro Morris,Cayman Islands,Right hand Bat,Right arm Offbreak,Cayman Islands,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/120700/120720.1.jpg",
Gregory Smith,Cayman Islands,Right hand Bat,Right arm Medium,Cayman Islands,,
Yasir Ali,Spain,Right hand Bat,Right arm Offbreak,Spain,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/303000/303040.1.jpg",
Thomas Charles Vine,Spain,Right hand Bat,Right arm Medium fast,Spain Under-17s,,
Abdullah Shaheen Mahmood,Denmark,Right hand Bat,Right arm Offbreak,Denmark Under-19s,,
Zachary Simpson,Gibraltar,Right hand Bat,Right arm Offbreak,Gibraltar,,
Sukhkaran Sahi,Romania,Right hand Bat,Right arm Offbreak,Romania,,
Shubhranshu Chaudhary,Czech Republic,Right hand Bat,Right arm Medium fast,Czech Republic,,
Sandeep Nair,Bulgaria,Right hand Bat,Right arm Offbreak,Bulgaria,,
Karthik Sreekumar Pillai,Bulgaria,Karthik Sreekumar,Right hand Bat,Right arm Medium fast,,
Tanaka Lance Chivanga,Zimbabwe,Right hand Bat,Right arm Fast,Bowler,,
Benjamin Edward Johnson,Guernsey,Right hand Bat,Left arm Medium fast,Guernsey Under-19s,,
Muhammad Imran,Finland,Right hand Bat,Right arm Medium,Finland,,
Parveen Kumar,Finland,Right hand Bat,Right arm Medium,Finland,,
Umran Malik,India,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/343200/343263.png",
Conor Olphert,Ireland,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348600/348602.png",
Elan Talker,Israel,Right hand Bat,Right arm Medium,Israel,,
Mohammad Atif,Spain,Right hand Bat,Left arm Medium,Spain,,
Kinley Penjor,Bhutan,,,,,
Phanuwat Desungnoen,Thailand,Right hand Bat,Right arm Offbreak,Thailand,,
Ansh Trivedi,Luxembourg,Right hand Bat,Right arm Medium,Luxembourg,,
Osman Khan,Austria,Right hand Bat,Right arm Offbreak,Austria,,
Bashar Khan,Italy,Left hand Bat,Slow Left arm Orthodox,Italy,,
Laurentiu Gherasim,Romania,Right hand Bat,Right arm Medium fast,M Gherasim (brother),,
Benjamin Vincent Sears,New Zealand,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/329800/329886.png",
Abul Hossine Mohammad Farhad,Czech Republic,Right hand Bat,Right arm Medium,Czech Republic,,
Michael James Grattan Rippon,New Zealand,Right hand Bat,Left arm Wrist spin,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/324200/324214.png","Michel Rippon, born in South Africa and educated at Rondebosch Boys' High School, is a left-arm wristspin bowler who is also qualified to play in English county cricket because of a Dutch passport."
John Kumbirai Masara,Zimbabwe,Right hand Bat,Legbreak,Mountaineers,,
Naveen Thailappan,Bahrain,Right hand Bat,Slow Left arm Orthodox,Bahrain,,
Imran Khan,Bahrain,Right hand Bat,Right arm Medium,Bahrain,,
Shahrukh Quddus,Kuwait,Right hand Bat,Right arm Medium,Kuwait Under-19s,,
Ateeq Iqbal,Hong Kong,Right hand Bat,Right arm Medium,Bowler,,
Ebadot Hossain Chowdhury,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/345000/345078.png","Ebadat Hossain Chowdhury's journey from being a volleyball player for Bangladesh Air Force to becoming a Test cricketer in February 2019 was a short, and interesting, one. Living in their barracks, Ebadat dreamt of bowling like Brett Lee one day. His dream came true when he took part in the 2016 Robi Pacer Hunt in Faridpur, crisscrossing 342km southwest from his hometown Sylhet. He was one of the top three bowlers, and was duly picked by the scouts to a training camp in Dhaka."
Rival Shem Kalomirata Samson,Vanuatu,Right hand Bat,Right arm Medium,Vanuatu,,
Bismarck Schuster,Samoa,Right hand Bat,Right arm Medium,Samoa Under-19s,,
Obed Yosef,Vanuatu,Slow Left arm Orthodox,Vanuatu Under-19s,Vanuatu Under-19s,,
Yash Talati,Kenya,,,,,
Stephen Biko,Kenya,Right hand Bat,Right arm Medium fast,Kent Under-19s,,
Luke Wood,England,Left hand Bat,Left arm Fast medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/324300/324367.png","Luke Wood, a left-arm pace bowler with the priceless ability to swing the ball back into the right-handers, joined Lancashire at the end of the 2019 season in search of a more regular first-team place after spending time in and out of the Nottinghamshire side. Several other counties were interested, but Lancashire were keen to sign a left-armer and the prospect of game time in all formats proved irresistible."
Kohei Kubota,Japan,Right hand Bat,Right arm Medium,Japan,,
Achintha Denuwan,Italy,Right hand Bat,Right arm Medium,Italy,,
Muhammad Saqib,Saudi Arabia,Right hand Bat,Right arm Medium,Saudi Arabia,,
Ammar Khalid,Canada,Allrounder,Edmonton Royals,Edmonton Royals,,
Sufyan Mehmood,Oman,Left hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321700/321783.png",
Boemo Kgosiemang,Botswana,Rasta,Right hand Bat,Right arm Fast,,
Jeremy Oliver Alster Gordon,Canada,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321273.png",
Chiemelie Udekwe,Nigeria,Right hand Bat,Right arm Medium fast,Nigeria Under-19s,,
Camate Bez Roposo,Mozambique,Right hand Bat,Right arm Medium fast,Mozambique,,
Joshua Asia,Nigeria,Right hand Bat,Right arm Offbreak,Nigeria,,
Rizwan Haider,Malaysia,Right hand Bat,Left arm Medium,Malaysia,,
Zeeshan Abbas,Bahrain,Right hand Bat,Slow Left arm Orthodox,Bahrain,,
Carl Junior Dala,South Africa,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322093.png",
Glenton Anric Stuurman,South Africa,Tokka,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322400/322462.png",
Zahid Mahmood,Pakistan,Right hand Bat,Legbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/326400/326493.png",
Riley Patrick Meredith,Australia,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321600/321603.png",
Aththachchi Nuwan Pradeep Roshan Fernando,Sri Lanka,Sirasa,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319800/319882.png","Fast bowler Nuwan Pradeep didn't play with a cricket ball till he was 20 but less than three years later he was in Sri Lanka's Test squad. He won a pace contest in 2007, impressing the talent scouts in a soft-ball event, and was sent straight to Sri Lanka Cricket's academy. He follows in the Sri Lankan tradition of maverick bowlers with unconventional actions. Like Lasith Malinga, he has a slinging action and has troubled many batsmen in domestic cricket with his pace, generated from a long run-up. Pradeep toured Sri Lanka A to Australia in 2010, where he was among the quickest bowlers from both sides though he didn't bag many wickets. Less than a month later, he was rewarded with a call-up to the national squad for the second Test against India.Cricinfo Staff July 2010  "
Amir Hamza Hotak,Afghanistan,Hamza Hotak,Right hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/340000/340091.png",Hamza Hotak is a left-arm spinner who was included in the Afghanistan Under-19 squad for the 2010 World Cup in New Zealand. His considers his 3 for 18 against Nepal in the semi-final of ACC U-19 Cup Elite in Kuwait as his best cricketing achievement till date. He compares his bowling style to New Zealand's Daniel Vettori.  Cricinfo Staff January 2010
Thangarasu Natarajan,India,Left hand Bat,Left arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322699.png",
Todd Duncan Astle,New Zealand,Right hand Bat,Legbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321314.png","Once a mediocre opening batsman for Canterbury, Todd Astle moved down the order and began to focus on his promising legspin to firm up his place in the side in 2009. He has reaped the rewards of his transformation since, bagging three five-wicket hauls in five first-class matches in his first year as an allrounder and taking over 30 wickets in each of the past two seasons as well. He has not had the opportunity to make big contributions with the bat in his new role, but remains capable and has developed a reputation as a tenacious fielder to boot. An injury to Daniel Vettori and Tarun Nethula's dip in domestic form saw Astle named in New Zealand's squad for two Tests in Sri Lanka in November 2012. 
Andrew Fernando"
Julian Lorenzo de Mey,Netherlands,Bowler,Netherlands,Netherlands,,
Shameek Vats,Luxembourg,Right hand Bat,Right arm Medium fast,Bowler,,
Aswad Ullah Khan,Bulgaria,Right hand Bat,Right arm Medium fast,Bulgaria,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/324000/324026.1.jpg",
Mohamad Waqar Zalmai,Austria,Right hand Bat,Right arm Medium,Austria,,
Sankarankutty Sandeep Warrier,India,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/184300/184389.jpg",
Hashir Hussain,Norway,Right hand Bat,Right arm Fast,Bowler,,
Israr Khan,Germany,Right hand Bat,Right arm Offbreak,Germany,,
Ahmadschah Ahmadzai,Germany,Right hand Bat,Right arm Medium fast,Germany,,
Oktai Gholami,Sweden,Right hand Bat,Slow Left arm Orthodox,Sweden,,
Hariharan Dandapani,Finland,Right hand Bat,Right arm Offbreak,Finland,,
Adnan Syed,Finland,Right hand Bat,Right arm Medium,Finland,,
Dharmendra Manani,Romania,Right hand Bat,Right arm Medium fast,Umpire,,
Asad Mohammad,Germany,Right hand Bat,Right arm Medium,Bowler,,
Charles Waiswa,Uganda,Waiswa Charles,Left hand Bat,Left arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/173000/173007.1.jpg",
Dominic Saleh Wesonga,Kenya,Right hand Bat,Right arm Fast medium,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/118900/118972.1.jpg",
Gerald Mubiru,Uganda,Exton Rest,Right hand Bat,Left arm Wrist spin,,
Sanchit Mohan Sharma,United Arab Emirates,Right hand Bat,Right arm Medium,United Arab Emirates,,
Malcolm Sedgwick,Estonia,Right hand Bat,Right arm Medium,Estonia,,
Richard Agamiire,Uganda,Afedem,Right hand Bat,Right arm Medium,,
Kerai Govind,Seychelles,Right hand Bat,Seychelles,Seychelles,,
Zoheb Aziz Malek,Malta,Right hand Bat,Right arm Offbreak,Malta,,
Pradeep Wasantha Kumaranayaka Ududumbara Kirihathanalage,Kuwait,Right hand Bat,Slow Left arm Orthodox,Kuwait,,
Hamid Hassan,Afghanistan,Hameed Hasan,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316643.png","In June 2007, Hamid Hassan became the first Afghanistan cricketer ever to play at Lord's when he took 1 for 23, representing MCC against a select Europe XI. Little more than 6ft tall, with a smooth and athletic run-up, his fast arm surprises batsmen and he has a natural full-of-a-length delivery, swinging the ball both ways at pace. A reasonable tailender and with excellent hands in the outfield, Hassan - softly spoken yet fiercely ambitious - represents the talent which exists in Afghanistan."
Cecil Pervez Khan,Canada,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321259.png",
Muhammad Zaghlool,Belize,Right hand Bat,Slow Left arm Orthodox,Belize,,
Kyle Christopher Hodsoll,Bermuda,Right hand Bat,Right arm Medium fast,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/101400/101426.1.jpg",Kyle Hodsoll is a right-arm medium-fast bowler who bats in the lower-middle order. He made his one-day debut in October 2007 and played his maiden first-class game a month later in the Intercontinental Cup. Hodsoll has been selected in Bermuda's squad for the Under-19 World Cup in 2008. Cricinfo staff February 2008
Augusto Mustafa,Argentina,Right hand Bat,Wicketkeeper,Argentina Under-19s,,
Trinson Oclavia Carmichael,United States of America,Left hand Bat,Slow Left arm Orthodox,New York Region,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/233000/233095.1.jpg",
Elmore Howard Hutchinson,United States of America,Right hand Bat,Left arm Fast medium,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/173000/173071.1.jpg","A gentle giant, Elmore Hutchinson is a soft-spoken character off the field but a menacing left-handed fast bowler on it. Standing at a height of 6' 6"" and with lanky arms to go with it, Hutchinson looms large on his approach to the crease. Though not exceptionally quick, he produces decent swing and can also extract considerable bounce thanks to his frame."
